Hero,Appeared With
MACHETE/FERDINAND LO,"BATROC/GEORGES BATRO, ZARAN/MAXIMILLIAN ZA, HAWK, MOCKINGBIRD/DR. BARB, SILVER SABLE"
ZARAN/MAXIMILLIAN ZA,"BATROC/GEORGES BATRO, MACHETE/FERDINAND LO, MOCKINGBIRD/DR. BARB, HAWK, SILVER SABLE"
SILVER SABLE,"BATROC/GEORGES BATRO, PEREGRINE, LE/FRANCK, ZARAN/MAXIMILLIAN ZA, MACHETE/FERDINAND LO, RED SKULL II/ALBERT , MOCKINGBIRD/DR. BARB, HAWK, TRICKSHOT, SANDMAN/WILLIAM BAKE"
TRICKSHOT,"SWORDSMAN/JACQUES DU, HAWK, SILVER SABLE, MOCKINGBIRD/DR. BARB"
SWORDSMAN/JACQUES DU,"TRICKSHOT, HAWK, MOCKINGBIRD/DR. BARB"
SANDMAN/WILLIAM BAKE,"DR. OCTOPUS/OTTO OCT, MR. FANTASTIC/REED R, IRON MAN/TONY STARK , GREEN GOBLIN/NORMAN , VULTURE/ADRIAN TOOME, OSBORN, LIZ ALLAN, DAREDEVIL/MATT MURDO, PARKER, MAY, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, WATSON, ANNA, CAPTAIN AMERICA, BROMWELL, DR., PEREGRINE, LE/FRANCK, ANT-MAN/DR. HENRY J., LEEDS, NED, SILVER SABLE, JAMESON, J. JONAH, LEEDS, BETTY BRANT, THOMPSON, EUGENE FLA, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, RED SKULL II/ALBERT , HAWK, SPIDER-MAN/PETER PAR, KRAVEN THE HUNTER/SE, THOR/DR. DONALD BLAK"
"PEREGRINE, LE/FRANCK","SILVER SABLE, SANDMAN/WILLIAM BAKE, RED SKULL II/ALBERT , HAWK"
RED SKULL II/ALBERT ,"SILVER SABLE, SANDMAN/WILLIAM BAKE, PEREGRINE, LE/FRANCK, HAWK"
GUDRUN [ASGARDIAN],"VIZIER, HOGUN [ASGARDIAN], ODIN [ASGARDIAN], VOLSTAGG, FANDRAL [ASGARDIAN]"
VOLSTAGG,"VIZIER, HOGUN [ASGARDIAN], ODIN [ASGARDIAN], GUDRUN [ASGARDIAN], FANDRAL [ASGARDIAN]"
HOGUN [ASGARDIAN],"VIZIER, ODIN [ASGARDIAN], GUDRUN [ASGARDIAN], VOLSTAGG, FANDRAL [ASGARDIAN]"
FANDRAL [ASGARDIAN],"VIZIER, HOGUN [ASGARDIAN], ODIN [ASGARDIAN], GUDRUN [ASGARDIAN], VOLSTAGG"
VIZIER,"HOGUN [ASGARDIAN], ODIN [ASGARDIAN], GUDRUN [ASGARDIAN], VOLSTAGG, FANDRAL [ASGARDIAN]"
ODIN [ASGARDIAN],"VIZIER, HOGUN [ASGARDIAN], GUDRUN [ASGARDIAN], VOLSTAGG, FANDRAL [ASGARDIAN]"
DOMINO III/BEATRICE/,"BLAQUESMITH, SUMMERS, NATHAN CHRI, MERRYWEATHER, IRENE, BLOCKADE/DEXTER PARI, HYDROMAN/MORRIE BENC, STILT-MAN/WILBUR DAY"
HYDROMAN/MORRIE BENC,"BLAQUESMITH, BLOODY MARY, ANDERSON, BAXTER, BLACK CAT/FELICIA HA, SPIDER-MAN/PETER PAR, SUMMERS, NATHAN CHRI, BOUNTY II, BLOCKADE/DEXTER PARI, MERRYWEATHER, IRENE, DOMINO III/BEATRICE/, STILT-MAN/WILBUR DAY"
STILT-MAN/WILBUR DAY,"BLAQUESMITH, SUMMERS, NATHAN CHRI, BLOCKADE/DEXTER PARI, MERRYWEATHER, IRENE, DOMINO III/BEATRICE/, HYDROMAN/MORRIE BENC"
BLOCKADE/DEXTER PARI,"BLAQUESMITH, SUMMERS, NATHAN CHRI, MERRYWEATHER, IRENE, HYDROMAN/MORRIE BENC, DOMINO III/BEATRICE/, STILT-MAN/WILBUR DAY"
"MERRYWEATHER, IRENE","BLAQUESMITH, SUMMERS, NATHAN CHRI, BLOCKADE/DEXTER PARI, HYDROMAN/MORRIE BENC, DOMINO III/BEATRICE/, STILT-MAN/WILBUR DAY"
BLAQUESMITH,"SUMMERS, NATHAN CHRI, BLOCKADE/DEXTER PARI, HYDROMAN/MORRIE BENC, DOMINO III/BEATRICE/, MERRYWEATHER, IRENE, STILT-MAN/WILBUR DAY"
"WORTHINGTON, KATHRYN","ANGEL/WARREN KENNETH, WORTHINGTON, WARREN "
"WORTHINGTON, WARREN ","WORTHINGTON, KATHRYN, ANGEL/WARREN KENNETH"
VULTURE/ADRIAN TOOME,"MR. FANTASTIC/REED R, DR. OCTOPUS/OTTO OCT, IRON MAN/TONY STARK , GREEN GOBLIN/NORMAN , OSBORN, LIZ ALLAN, SANDMAN/WILLIAM BAKE, DAREDEVIL/MATT MURDO, PARKER, MAY, VULTURE II/BLACKIE D, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, WATSON, ANNA, FOREIGNER/RAFAEL BAS, WATSON-PARKER, MARY , BROMWELL, DR., CAPTAIN AMERICA, HITMAN/LT. BURT KENY, ANT-MAN/DR. HENRY J., MORGAN, LEEDS, NED, JAMESON, J. JONAH, LEEDS, BETTY BRANT, JACKAL/MILES WARREN, THOMPSON, EUGENE FLA, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, OSBORN, HARRY, SPIDER-MAN/PETER PAR, BANNON, LANCE, KRAVEN THE HUNTER/SE, LUBENSKI, NATE, STACY, CAPT. GEORGE, STACY, GWEN, SHA SHAN, THOR/DR. DONALD BLAK"
VULTURE II/BLACKIE D,"OSBORN, HARRY, SPIDER-MAN/PETER PAR, STACY, CAPT. GEORGE, GREEN GOBLIN/NORMAN , VULTURE/ADRIAN TOOME, JAMESON, J. JONAH, STACY, GWEN, LEEDS, BETTY BRANT, JACKAL/MILES WARREN"
"OSBORN, HARRY","ROBERTSON, JOE, JAMESON, MARLA MADIS, BLACK CAT/FELICIA HA, GREEN GOBLIN/NORMAN , VULTURE/ADRIAN TOOME, OSBORN, LIZ ALLAN, SLOAN, DR., PARKER, MAY, GREEN GOBLIN III/BAR, VULTURE II/BLACKIE D, GRANT, GLORIA GLORY, KINGPIN/WILSON FISK, WATSON, ANNA, WATSON-PARKER, MARY , KINGSLEY, DANIEL, SILVERMANE/SILVIO MA, HOBGOBLIN III/LEFTY , JAMESON, J. JONAH, LEEDS, BETTY BRANT, JACKAL/MILES WARREN, SPIDER-MAN/PETER PAR, STACY, CAPT. GEORGE, HOBGOBLIN II/RODERIC, BEYONDER, STACY, GWEN"
"STACY, CAPT. GEORGE","VULTURE II/BLACKIE D, OSBORN, HARRY, SPIDER-MAN/PETER PAR, GREEN GOBLIN/NORMAN , VULTURE/ADRIAN TOOME, JAMESON, J. JONAH, STACY, GWEN, LEEDS, BETTY BRANT, JACKAL/MILES WARREN"
"STACY, GWEN","VULTURE II/BLACKIE D, OSBORN, HARRY, SPIDER-MAN/PETER PAR, STACY, CAPT. GEORGE, GREEN GOBLIN/NORMAN , VULTURE/ADRIAN TOOME, JAMESON, J. JONAH, LEEDS, BETTY BRANT, JACKAL/MILES WARREN"
GREEN GOBLIN/NORMAN ,"MR. FANTASTIC/REED R, DR. OCTOPUS/OTTO OCT, IRON MAN/TONY STARK , VULTURE/ADRIAN TOOME, OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , SANDMAN/WILLIAM BAKE, DAREDEVIL/MATT MURDO, SUNDOWN/DR. DAVE LOW, PARKER, MAY, SUB-MARINER/NAMOR MA, VULTURE II/BLACKIE D, HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, MCKEEVER, TINY, ANGEL/WARREN KENNETH, WATSON, ANNA, CAPTAIN AMERICA, BROMWELL, DR., OX, MARVEL GIRL/JEAN GRE, ANT-MAN/DR. HENRY J., ICEMAN/ROBERT BOBBY , LEEDS, NED, WONG, JAMESON, J. JONAH, IONELLO, JASON, LEEDS, BETTY BRANT, JACKAL/MILES WARREN, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, THING/BENJAMIN J. GR, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, OSBORN, HARRY, EVANS, DORIS, MONTANA, SPIDER-MAN/PETER PAR, KRAVEN THE HUNTER/SE, STACY, CAPT. GEORGE, HOGAN, HAROLD J. HAP, STACY, GWEN, FANCY DAN, THOR/DR. DONALD BLAK"
SILVERMANE/SILVIO MA,"ROBERTSON, JOE, GREEN GOBLIN III/BAR, PARKER, MAY, GRANT, GLORIA GLORY, OSBORN, HARRY, WATSON, ANNA, SPIDER-MAN/PETER PAR, JAMESON, J. JONAH, WATSON-PARKER, MARY "
GREEN GOBLIN III/BAR,"ROBERTSON, JOE, PARKER, MAY, GRANT, GLORIA GLORY, OSBORN, HARRY, WATSON, ANNA, SILVERMANE/SILVIO MA, SPIDER-MAN/PETER PAR, JAMESON, J. JONAH, WATSON-PARKER, MARY "
"PULASKI, JOSEPHINE J","THOMPSON, EUGENE FLA, PARKER, MAY, SHIFFMAN, MAXIE, CYCLOPS/SCOTT SUMMER, SPIDER-MAN/PETER PAR, MCKEEVER, TINY, KINGPIN/WILSON FISK, OSBORN, LIZ ALLAN, IONELLO, JASON"
"SHIFFMAN, MAXIE","THOMPSON, EUGENE FLA, PARKER, MAY, CYCLOPS/SCOTT SUMMER, SPIDER-MAN/PETER PAR, MCKEEVER, TINY, PULASKI, JOSEPHINE J, KINGPIN/WILSON FISK, OSBORN, LIZ ALLAN, IONELLO, JASON"
"OSBORN, LIZ ALLAN","JAMESON, MARLA MADIS, MR. FANTASTIC/REED R, DR. OCTOPUS/OTTO OCT, IRON MAN/TONY STARK , WARREN, MR., BLACK CAT/FELICIA HA, GREEN GOBLIN/NORMAN , VULTURE/ADRIAN TOOME, SLOAN, DR., DR. STRANGE/STEPHEN , SANDMAN/WILLIAM BAKE, DAREDEVIL/MATT MURDO, SUNDOWN/DR. DAVE LOW, PARKER, MAY, SUB-MARINER/NAMOR MA, HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, MCKEEVER, TINY, ANGEL/WARREN KENNETH, KINGPIN/WILSON FISK, CHAMELEON/DMITRI SME, WATSON, ANNA, WATSON-PARKER, MARY , CAPTAIN AMERICA, BROMWELL, DR., MYSTERIO/QUENTIN BEC, OX, KINGSLEY, DANIEL, MARVEL GIRL/JEAN GRE, ANT-MAN/DR. HENRY J., HOBGOBLIN III/LEFTY , ICEMAN/ROBERT BOBBY , LEEDS, NED, PULASKI, JOSEPHINE J, WONG, JAMESON, J. JONAH, IONELLO, JASON, LEEDS, BETTY BRANT, THOMPSON, EUGENE FLA, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, SHIFFMAN, MAXIE, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, OSBORN, HARRY, BIG MAN/FREDERICK FO, MONTANA, EVANS, DORIS, SPIDER-MAN/PETER PAR, KRAVEN THE HUNTER/SE, HOBGOBLIN II/RODERIC, BEYONDER, HOGAN, HAROLD J. HAP, FANCY DAN, THOR/DR. DONALD BLAK"
"MCKEEVER, TINY","MR. FANTASTIC/REED R, IRON MAN/TONY STARK , GREEN GOBLIN/NORMAN , OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , DAREDEVIL/MATT MURDO, SUNDOWN/DR. DAVE LOW, PARKER, MAY, SUB-MARINER/NAMOR MA, HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, ANGEL/WARREN KENNETH, KINGPIN/WILSON FISK, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, ANT-MAN/DR. HENRY J., ICEMAN/ROBERT BOBBY , PULASKI, JOSEPHINE J, WONG, JAMESON, J. JONAH, IONELLO, JASON, LEEDS, BETTY BRANT, THOMPSON, EUGENE FLA, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, SHIFFMAN, MAXIE, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, SPIDER-MAN/PETER PAR, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
"IONELLO, JASON","MR. FANTASTIC/REED R, IRON MAN/TONY STARK , GREEN GOBLIN/NORMAN , OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , DAREDEVIL/MATT MURDO, SUNDOWN/DR. DAVE LOW, PARKER, MAY, SUB-MARINER/NAMOR MA, HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, MCKEEVER, TINY, ANGEL/WARREN KENNETH, KINGPIN/WILSON FISK, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, ANT-MAN/DR. HENRY J., ICEMAN/ROBERT BOBBY , PULASKI, JOSEPHINE J, WONG, JAMESON, J. JONAH, LEEDS, BETTY BRANT, THOMPSON, EUGENE FLA, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, SHIFFMAN, MAXIE, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, SPIDER-MAN/PETER PAR, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
GLADIATOR II,"INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, MR. FANTASTIC/REED R, ROSENTHAL, BERNIE, HUMAN TORCH/JOHNNY S, SPIDER-MAN/PETER PAR, RICHARDS, FRANKLIN B, MASTERS, ALICIA REIS, CAPTAIN AMERICA"
"RICHARDS, FRANKLIN B","STARFOX/EROS, MR. FANTASTIC/REED R, GRIMM, JAKE, ROSENTHAL, BERNIE, GALACTUS/GALAN, MASTERS, ALICIA REIS, GLADIATOR II, DAREDEVIL/MATT MURDO, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, ANELLE, CAPTAIN AMERICA, NOVA II/FRANKIE RAYE, VISION , ANNIHILUS, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, SHE-HULK/JENNIFER WA, SPIDER-MAN/PETER PAR, DEATH, CAPTAIN MARVEL II/MO, THOR/DR. DONALD BLAK"
ARISHEM [CELESTIAL],"ONE ABOVE ALL [CELES, MARVEL GIRL/JEAN GRE, BEAST/HENRY &HANK& P, GAMMENON [CELESTIAL], CYCLOPS/SCOTT SUMMER, ZIRAN, ICEMAN/ROBERT BOBBY , SUMMERS, NATHAN CHRI, ANGEL/WARREN KENNETH"
ZIRAN,"ONE ABOVE ALL [CELES, MARVEL GIRL/JEAN GRE, BEAST/HENRY &HANK& P, GAMMENON [CELESTIAL], CYCLOPS/SCOTT SUMMER, ARISHEM [CELESTIAL], ICEMAN/ROBERT BOBBY , SUMMERS, NATHAN CHRI, ANGEL/WARREN KENNETH"
GAMMENON [CELESTIAL],"ONE ABOVE ALL [CELES, MARVEL GIRL/JEAN GRE, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, ARISHEM [CELESTIAL], ZIRAN, ICEMAN/ROBERT BOBBY , SUMMERS, NATHAN CHRI, ANGEL/WARREN KENNETH"
ONE ABOVE ALL [CELES,"MARVEL GIRL/JEAN GRE, BEAST/HENRY &HANK& P, GAMMENON [CELESTIAL], CYCLOPS/SCOTT SUMMER, ARISHEM [CELESTIAL], ZIRAN, ICEMAN/ROBERT BOBBY , SUMMERS, NATHAN CHRI, ANGEL/WARREN KENNETH"
WONG,"MR. FANTASTIC/REED R, IRON MAN/TONY STARK , WARLOCK II/ADAM WARL, PHOBOS, NOX, UMAR, NIGHTMARE/EDVARD HAB, GREEN GOBLIN/NORMAN , OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , D'SPAYRE, DAREDEVIL/MATT MURDO, SUNDOWN/DR. DAVE LOW, BARON BLOOD II/VICTO, SUB-MARINER/NAMOR MA, PARKER, MAY, TOPAZ, HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, MCKEEVER, TINY, ANGEL/WARREN KENNETH, RINTRAH, DEIMOS, CAPTAIN AMERICA, CLEA, WOLFE, SARA, MARVEL GIRL/JEAN GRE, ANT-MAN/DR. HENRY J., PIP/PRINCE GOFERN, ICEMAN/ROBERT BOBBY , DR. DRUID/ANTHONY LU, CHANG, IMEI, GAMORA, JAMESON, J. JONAH, IONELLO, JASON, LEEDS, BETTY BRANT, SCARLET WITCH/WANDA , BLESSING, MORGANA, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, THING/BENJAMIN J. GR, FEAR EATER/KKALLAKKU, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, SPIDER-MAN/PETER PAR, DWELLER IN DARKNESS, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
CLEA,"SILVER DAGGER/ISAIAH, WARLOCK II/ADAM WARL, THANOS, PHOBOS, NOX, DRAX/ARTHUR DOUGLAS, UMAR, NIGHTMARE/EDVARD HAB, FIRELORD/PYREUS KRIL, DR. STRANGE/STEPHEN , D'SPAYRE, BARON BLOOD II/VICTO, HELA [ASGARDIAN], TOPAZ, CAESAR, JULIUS, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, AGAMOTTO, RINTRAH, MEPHISTA, DEIMOS, ZOTA, WOLFE, SARA, SCARECROW II, PIP/PRINCE GOFERN, DR. DRUID/ANTHONY LU, CHANG, IMEI, CLEOPATRA, WONG, GAMORA, MEPHISTO, SCARLET WITCH/WANDA , BLESSING, MORGANA, FEAR EATER/KKALLAKKU, DR. DOOM/VICTOR VON , CERBERUS, ETERNITY/ADAM QADMON, LURKING UNKNOWN, SATANNISH, DWELLER IN DARKNESS"
UMAR,"CLEA, WONG, DR. STRANGE/STEPHEN "
"ALRAUNE, MARLENE","JESTER/JONATHAN POWE, FRENCHIE/JEAN-PAUL D, LANDERS, RAY, MOON KNIGHT/MARC SPE, THING/BENJAMIN J. GR, LANDERS, RICKY, CRAWLEY, BETRAND, NEDDA, SAMUELS, MANOLIS, LT. NICK, BUSHMAN, RAOUL, MASTERS, ALICIA REIS, LANDERS, GENA, DAREDEVIL/MATT MURDO"
JESTER/JONATHAN POWE,"FRENCHIE/JEAN-PAUL D, MOON KNIGHT/MARC SPE, CRAWLEY, BETRAND, NEDDA, ALRAUNE, MARLENE, MANOLIS, LT. NICK, LANDERS, GENA, DAREDEVIL/MATT MURDO"
DAREDEVIL/MATT MURDO,"JESTER/JONATHAN POWE, MR. FANTASTIC/REED R, MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , DR. OCTOPUS/OTTO OCT, GAMBONNO, LUIGI, PAGE, KAREN, ALRAUNE, MARLENE, CANNONBALL/JACK PULV, MASTERS, ALICIA REIS, GREEN GOBLIN/NORMAN , VULTURE/ADRIAN TOOME, OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , SANDMAN/WILLIAM BAKE, GAMBONNO, ERNESTO, SUNDOWN/DR. DAVE LOW, PARKER, MAY, SUB-MARINER/NAMOR MA, FRENCHIE/JEAN-PAUL D, HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, MCKEEVER, TINY, ANGEL/WARREN KENNETH, NELSON, FRANKLIN FOG, WATSON, ANNA, CAPTAIN AMERICA, BROMWELL, DR., MARVEL GIRL/JEAN GRE, ANT-MAN/DR. HENRY J., NEDDA, ICEMAN/ROBERT BOBBY , LEEDS, NED, LANDERS, GENA, JAMESON, J. JONAH, WONG, IONELLO, JASON, LEEDS, BETTY BRANT, ANNIHILUS, THOMPSON, EUGENE FLA, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, CRAWLEY, BETRAND, RINGMASTER/MAYNARD T, SPIDER-MAN/PETER PAR, MANOLIS, LT. NICK, KRAVEN THE HUNTER/SE, RICHARDS, FRANKLIN B, BRUTO THE STRONGMAN/, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
NEDDA,"JESTER/JONATHAN POWE, FRENCHIE/JEAN-PAUL D, LANDERS, RAY, MOON KNIGHT/MARC SPE, LANDERS, RICKY, CRAWLEY, BETRAND, SAMUELS, ALRAUNE, MARLENE, MANOLIS, LT. NICK, BUSHMAN, RAOUL, LANDERS, GENA, DAREDEVIL/MATT MURDO"
"LANDERS, GENA","JESTER/JONATHAN POWE, FRENCHIE/JEAN-PAUL D, LANDERS, RAY, MOON KNIGHT/MARC SPE, LANDERS, RICKY, CRAWLEY, BETRAND, NEDDA, SAMUELS, ALRAUNE, MARLENE, MANOLIS, LT. NICK, BUSHMAN, RAOUL, DAREDEVIL/MATT MURDO"
"CRAWLEY, BETRAND","JESTER/JONATHAN POWE, FRENCHIE/JEAN-PAUL D, LANDERS, RAY, MOON KNIGHT/MARC SPE, LANDERS, RICKY, NEDDA, SAMUELS, ALRAUNE, MARLENE, MANOLIS, LT. NICK, BUSHMAN, RAOUL, LANDERS, GENA, DAREDEVIL/MATT MURDO"
"MANOLIS, LT. NICK","JESTER/JONATHAN POWE, FRENCHIE/JEAN-PAUL D, MOON KNIGHT/MARC SPE, CRAWLEY, BETRAND, NEDDA, ALRAUNE, MARLENE, LANDERS, GENA, DAREDEVIL/MATT MURDO"
FRENCHIE/JEAN-PAUL D,"JESTER/JONATHAN POWE, LANDERS, RAY, THING/BENJAMIN J. GR, MOON KNIGHT/MARC SPE, LANDERS, RICKY, CRAWLEY, BETRAND, NEDDA, SAMUELS, ALRAUNE, MARLENE, MANOLIS, LT. NICK, BUSHMAN, RAOUL, MASTERS, ALICIA REIS, LANDERS, GENA, DAREDEVIL/MATT MURDO"
"BUSHMAN, RAOUL","LANDERS, RAY, FRENCHIE/JEAN-PAUL D, MOON KNIGHT/MARC SPE, LANDERS, RICKY, CRAWLEY, BETRAND, NEDDA, SAMUELS, ALRAUNE, MARLENE, LANDERS, GENA"
"LANDERS, RICKY","LANDERS, RAY, FRENCHIE/JEAN-PAUL D, MOON KNIGHT/MARC SPE, CRAWLEY, BETRAND, NEDDA, SAMUELS, ALRAUNE, MARLENE, LANDERS, GENA, BUSHMAN, RAOUL"
SAMUELS,"LANDERS, RAY, FRENCHIE/JEAN-PAUL D, MOON KNIGHT/MARC SPE, LANDERS, RICKY, CRAWLEY, BETRAND, NEDDA, ALRAUNE, MARLENE, LANDERS, GENA, BUSHMAN, RAOUL"
"LANDERS, RAY","FRENCHIE/JEAN-PAUL D, MOON KNIGHT/MARC SPE, LANDERS, RICKY, CRAWLEY, BETRAND, NEDDA, SAMUELS, ALRAUNE, MARLENE, LANDERS, GENA, BUSHMAN, RAOUL"
"MASTERS, ALICIA REIS","STARFOX/EROS, MR. FANTASTIC/REED R, MOON KNIGHT/MARC SPE, ROSENTHAL, BERNIE, GALACTUS/GALAN, ALRAUNE, MARLENE, GLADIATOR II, DAREDEVIL/MATT MURDO, FRENCHIE/JEAN-PAUL D, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, CAPTAIN AMERICA, LIVING MUMMY, NOVA II/FRANKIE RAYE, VISION , ANNIHILUS, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, SHE-HULK/JENNIFER WA, SPIDER-MAN/PETER PAR, RICHARDS, FRANKLIN B, CAPTAIN MARVEL II/MO, THOR/DR. DONALD BLAK"
FEAR EATER/KKALLAKKU,"CLEA, WONG, WOLFE, SARA, SCARECROW II, PHOBOS, DEIMOS, NOX, LURKING UNKNOWN, CHANG, IMEI, NIGHTMARE/EDVARD HAB, RINTRAH, DWELLER IN DARKNESS, DR. STRANGE/STEPHEN , D'SPAYRE"
LURKING UNKNOWN,"CLEA, FEAR EATER/KKALLAKKU, WOLFE, SARA, SCARECROW II, NOX, NIGHTMARE/EDVARD HAB, RINTRAH, DWELLER IN DARKNESS, DR. STRANGE/STEPHEN , D'SPAYRE"
"WOLFE, SARA","WARLOCK II/ADAM WARL, PHOBOS, NOX, NIGHTMARE/EDVARD HAB, DR. STRANGE/STEPHEN , D'SPAYRE, BARON BLOOD II/VICTO, TOPAZ, RINTRAH, DEIMOS, CLEA, SCARECROW II, PIP/PRINCE GOFERN, DR. DRUID/ANTHONY LU, CHANG, IMEI, WONG, GAMORA, SCARLET WITCH/WANDA , BLESSING, MORGANA, FEAR EATER/KKALLAKKU, ETERNITY/ADAM QADMON, LURKING UNKNOWN, DWELLER IN DARKNESS"
DWELLER IN DARKNESS,"CLEA, FEAR EATER/KKALLAKKU, WOLFE, SARA, WONG, SCARECROW II, PHOBOS, DEIMOS, NOX, LURKING UNKNOWN, CHANG, IMEI, NIGHTMARE/EDVARD HAB, RINTRAH, DR. STRANGE/STEPHEN , D'SPAYRE"
SCARECROW II,"CLEA, FEAR EATER/KKALLAKKU, WOLFE, SARA, NOX, LURKING UNKNOWN, NIGHTMARE/EDVARD HAB, RINTRAH, DWELLER IN DARKNESS, DR. STRANGE/STEPHEN , D'SPAYRE"
NOX,"CLEA, FEAR EATER/KKALLAKKU, WOLFE, SARA, WONG, SCARECROW II, PHOBOS, DEIMOS, LURKING UNKNOWN, CHANG, IMEI, NIGHTMARE/EDVARD HAB, RINTRAH, DWELLER IN DARKNESS, DR. STRANGE/STEPHEN , D'SPAYRE"
RINTRAH,"SILVER DAGGER/ISAIAH, WARLOCK II/ADAM WARL, PHOBOS, NOX, DRAX/ARTHUR DOUGLAS, NIGHTMARE/EDVARD HAB, FIRELORD/PYREUS KRIL, DR. STRANGE/STEPHEN , D'SPAYRE, BARON BLOOD II/VICTO, HELA [ASGARDIAN], TOPAZ, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, AGAMOTTO, MEPHISTA, DEIMOS, CLEA, WOLFE, SARA, SCARECROW II, PIP/PRINCE GOFERN, DR. DRUID/ANTHONY LU, CHANG, IMEI, WONG, GAMORA, MEPHISTO, SCARLET WITCH/WANDA , BLESSING, MORGANA, FEAR EATER/KKALLAKKU, DR. DOOM/VICTOR VON , CERBERUS, ETERNITY/ADAM QADMON, LURKING UNKNOWN, SATANNISH, DWELLER IN DARKNESS"
PHOBOS,"CLEA, FEAR EATER/KKALLAKKU, WOLFE, SARA, DEIMOS, NOX, CHANG, IMEI, NIGHTMARE/EDVARD HAB, WONG, DWELLER IN DARKNESS, RINTRAH, DR. STRANGE/STEPHEN , D'SPAYRE"
DEIMOS,"CLEA, FEAR EATER/KKALLAKKU, WOLFE, SARA, PHOBOS, NOX, CHANG, IMEI, NIGHTMARE/EDVARD HAB, WONG, DWELLER IN DARKNESS, RINTRAH, DR. STRANGE/STEPHEN , D'SPAYRE"
"CHANG, IMEI","WARLOCK II/ADAM WARL, PHOBOS, NOX, NIGHTMARE/EDVARD HAB, DR. STRANGE/STEPHEN , D'SPAYRE, BARON BLOOD II/VICTO, TOPAZ, SILVER SURFER/NORRIN, RINTRAH, DEIMOS, CLEA, WOLFE, SARA, PIP/PRINCE GOFERN, DR. DRUID/ANTHONY LU, WONG, GAMORA, SCARLET WITCH/WANDA , BLESSING, MORGANA, FEAR EATER/KKALLAKKU, ETERNITY/ADAM QADMON, DWELLER IN DARKNESS"
TOPAZ,"BLESSING, MORGANA, CLEA, BARON BLOOD II/VICTO, WONG, WOLFE, SARA, ETERNITY/ADAM QADMON, MEPHISTA, WARLOCK II/ADAM WARL, PIP/PRINCE GOFERN, DR. DRUID/ANTHONY LU, CHANG, IMEI, SATANNISH, RINTRAH, GAMORA, MEPHISTO, DR. STRANGE/STEPHEN , SCARLET WITCH/WANDA "
